shape,center_x,center_y,size,color_bgr,image_name
circle,281,180,42,"(0, 255, 0)",scene_005.png
circle,290,225,50,"(0, 0, 255)",scene_005.png
pentagon,382,254,47,"(255, 255, 0)",scene_005.png
triangle,414,145,31,"(255, 255, 0)",scene_005.png
pentagon,369,242,41,"(255, 255, 0)",scene_005.png
rectangle,390,418,60,"(255, 0, 0)",scene_005.png
square,334,211,49,"(255, 255, 0)",scene_006.png
pentagon,227,326,60,"(255, 0, 0)",scene_006.png
pentagon,128,120,31,"(255, 0, 0)",scene_006.png
pentagon,283,56,39,"(255, 255, 0)",scene_006.png
pentagon,381,144,41,"(0, 255, 255)",scene_006.png
pentagon,338,248,26,"(255, 0, 0)",scene_006.png
rectangle,408,233,60,"(255, 255, 0)",scene_006.png
circle,232,327,25,"(0, 255, 0)",scene_006.png
rectangle,333,359,44,"(255, 255, 0)",scene_006.png
circle,104,281,51,"(255, 255, 0)",scene_006.png
circle,311,241,53,"(0, 255, 255)",scene_006.png
rectangle,275,294,44,"(0, 0, 255)",scene_006.png
rectangle,319,272,28,"(0, 255, 255)",scene_007.png
circle,153,130,42,"(255, 255, 0)",scene_007.png
triangle,63,208,30,"(0, 255, 0)",scene_007.png
triangle,220,381,42,"(255, 0, 0)",scene_007.png
circle,387,313,55,"(255, 0, 0)",scene_007.png
square,148,225,39,"(0, 255, 255)",scene_007.png
triangle,174,252,56,"(0, 255, 0)",scene_007.png
square,156,227,30,"(0, 255, 255)",scene_008.png
triangle,189,124,55,"(255, 0, 255)",scene_008.png
square,370,453,33,"(0, 255, 0)",scene_008.png
triangle,468,327,26,"(255, 0, 0)",scene_008.png
square,401,267,54,"(0, 255, 0)",scene_008.png
triangle,251,424,41,"(255, 255, 0)",scene_008.png
square,401,301,51,"(255, 0, 255)",scene_008.png
triangle,112,259,48,"(0, 255, 0)",scene_008.png
square,367,330,52,"(255, 255, 0)",scene_008.png
circle,388,394,33,"(255, 255, 0)",scene_008.png
rectangle,174,104,49,"(0, 255, 255)",scene_009.png
rectangle,379,227,27,"(255, 0, 0)",scene_009.png
circle,412,186,30,"(255, 255, 0)",scene_009.png
circle,155,430,57,"(255, 0, 0)",scene_009.png
square,130,283,43,"(255, 0, 0)",scene_009.png
pentagon,373,299,58,"(255, 0, 255)",scene_009.png
circle,375,104,50,"(255, 0, 0)",scene_009.png
circle,233,332,50,"(255, 0, 0)",scene_009.png
pentagon,391,193,45,"(0, 0, 255)",scene_009.png
rectangle,428,308,49,"(0, 0, 255)",scene_009.png
circle,108,406,52,"(255, 0, 0)",scene_009.png
triangle,360,388,54,"(0, 255, 0)",scene_009.png
square,420,114,52,"(255, 255, 0)",scene_009.png
pentagon,231,93,57,"(0, 255, 255)",scene_010.png
rectangle,394,63,39,"(255, 0, 255)",scene_010.png
rectangle,254,261,29,"(255, 0, 0)",scene_010.png
triangle,131,162,60,"(255, 255, 0)",scene_010.png
pentagon,98,366,33,"(0, 0, 255)",scene_010.png
pentagon,398,188,36,"(255, 255, 0)",scene_010.png
triangle,271,373,51,"(0, 255, 0)",scene_010.png
triangle,408,364,31,"(255, 255, 0)",scene_010.png
circle,160,98,31,"(0, 255, 255)",scene_010.png
pentagon,118,269,59,"(0, 255, 255)",scene_010.png
circle,220,295,55,"(255, 255, 0)",scene_011.png
square,79,380,60,"(255, 0, 255)",scene_011.png
pentagon,70,286,49,"(255, 0, 255)",scene_011.png
rectangle,110,327,27,"(255, 255, 0)",scene_011.png
rectangle,436,329,52,"(255, 0, 0)",scene_011.png
circle,177,396,27,"(0, 0, 255)",scene_011.png
triangle,340,185,44,"(255, 0, 255)",scene_011.png
square,364,434,39,"(0, 255, 255)",scene_011.png
square,105,390,40,"(0, 0, 255)",scene_011.png
pentagon,213,328,34,"(255, 0, 255)",scene_011.png
rectangle,306,105,40,"(0, 0, 255)",scene_011.png
circle,365,119,34,"(0, 255, 255)",scene_012.png
circle,235,329,38,"(255, 255, 0)",scene_012.png
triangle,359,383,49,"(0, 255, 255)",scene_012.png
circle,234,386,36,"(0, 0, 255)",scene_012.png
pentagon,232,247,40,"(0, 255, 255)",scene_012.png
circle,394,191,49,"(255, 255, 0)",scene_012.png
circle,244,303,57,"(0, 0, 255)",scene_013.png
rectangle,221,162,29,"(255, 0, 0)",scene_013.png
rectangle,447,463,27,"(0, 255, 255)",scene_013.png
pentagon,408,75,40,"(0, 0, 255)",scene_013.png
triangle,162,374,35,"(255, 255, 0)",scene_013.png
rectangle,231,285,34,"(255, 0, 255)",scene_013.png
pentagon,258,93,37,"(255, 255, 0)",scene_013.png
triangle,213,305,44,"(255, 0, 255)",scene_013.png
circle,102,352,31,"(255, 0, 255)",scene_013.png
square,110,241,42,"(255, 0, 0)",scene_013.png
circle,79,230,33,"(0, 0, 255)",scene_013.png
triangle,161,137,30,"(255, 0, 255)",scene_013.png
square,185,315,56,"(0, 255, 0)",scene_014.png
rectangle,181,138,29,"(0, 255, 0)",scene_014.png
circle,93,258,26,"(255, 255, 0)",scene_014.png
circle,162,127,54,"(0, 0, 255)",scene_014.png
circle,76,442,43,"(255, 0, 255)",scene_014.png
square,182,257,59,"(255, 0, 255)",scene_014.png
square,193,66,33,"(255, 255, 0)",scene_014.png
rectangle,313,421,33,"(255, 0, 255)",scene_014.png
triangle,188,352,55,"(0, 255, 0)",scene_014.png
circle,222,179,44,"(0, 255, 255)",scene_014.png
circle,381,304,41,"(255, 0, 255)",scene_014.png
triangle,230,103,52,"(0, 0, 255)",scene_014.png
triangle,219,50,33,"(0, 255, 255)",scene_014.png
triangle,209,261,43,"(0, 0, 255)",scene_014.png
rectangle,290,138,35,"(255, 0, 255)",scene_015.png
rectangle,113,326,38,"(255, 255, 0)",scene_015.png
pentagon,442,253,37,"(0, 255, 0)",scene_015.png
rectangle,355,214,32,"(255, 0, 255)",scene_015.png
triangle,295,172,56,"(0, 0, 255)",scene_015.png
pentagon,105,354,38,"(255, 255, 0)",scene_015.png
pentagon,354,155,30,"(0, 0, 255)",scene_015.png
triangle,294,64,41,"(0, 0, 255)",scene_015.png
rectangle,180,333,46,"(0, 0, 255)",scene_015.png
pentagon,134,275,42,"(0, 255, 0)",scene_015.png
rectangle,145,247,37,"(0, 255, 0)",scene_015.png
circle,247,240,54,"(255, 255, 0)",scene_015.png
rectangle,415,343,42,"(0, 0, 255)",scene_015.png
pentagon,252,315,55,"(0, 255, 255)",scene_015.png
rectangle,185,440,36,"(255, 0, 0)",scene_016.png
rectangle,72,288,30,"(0, 255, 255)",scene_016.png
triangle,189,284,51,"(255, 255, 0)",scene_016.png
pentagon,88,247,58,"(0, 255, 0)",scene_016.png
rectangle,143,133,42,"(0, 0, 255)",scene_016.png
rectangle,409,466,27,"(0, 255, 255)",scene_016.png
pentagon,149,430,48,"(0, 0, 255)",scene_016.png
rectangle,347,437,37,"(255, 0, 0)",scene_016.png
pentagon,254,450,28,"(0, 255, 0)",scene_016.png
square,132,146,32,"(255, 0, 0)",scene_016.png
square,137,359,47,"(255, 0, 255)",scene_016.png
rectangle,125,144,60,"(255, 0, 255)",scene_016.png
circle,263,213,51,"(0, 255, 255)",scene_016.png
circle,397,229,55,"(255, 0, 255)",scene_016.png
circle,200,218,44,"(0, 255, 255)",scene_017.png
square,432,227,45,"(255, 255, 0)",scene_017.png
pentagon,81,97,47,"(0, 255, 0)",scene_017.png
circle,242,409,56,"(255, 255, 0)",scene_017.png
pentagon,68,369,45,"(255, 0, 0)",scene_017.png
triangle,208,370,50,"(0, 0, 255)",scene_017.png
rectangle,407,256,40,"(0, 0, 255)",scene_017.png
rectangle,382,373,38,"(255, 255, 0)",scene_017.png
triangle,226,250,30,"(255, 0, 0)",scene_018.png
circle,153,161,49,"(255, 255, 0)",scene_018.png
pentagon,163,344,26,"(0, 255, 255)",scene_018.png
pentagon,174,298,46,"(0, 255, 255)",scene_018.png
square,355,209,44,"(255, 0, 0)",scene_018.png
square,173,134,58,"(255, 255, 0)",scene_018.png
circle,116,136,59,"(255, 0, 255)",scene_018.png
rectangle,399,389,53,"(255, 0, 0)",scene_019.png
square,190,359,58,"(255, 255, 0)",scene_019.png
circle,149,432,49,"(255, 0, 255)",scene_019.png
rectangle,421,349,25,"(255, 0, 255)",scene_019.png
square,80,215,40,"(0, 255, 255)",scene_019.png
square,103,344,46,"(0, 0, 255)",scene_019.png
rectangle,66,379,34,"(255, 255, 0)",scene_019.png
triangle,270,330,41,"(255, 0, 255)",scene_019.png
square,290,134,26,"(255, 255, 0)",scene_019.png
pentagon,349,171,48,"(255, 0, 255)",scene_020.png
rectangle,260,343,40,"(0, 255, 255)",scene_020.png
pentagon,314,210,31,"(0, 255, 255)",scene_020.png
rectangle,125,214,38,"(0, 255, 0)",scene_020.png
rectangle,431,187,32,"(255, 0, 255)",scene_020.png
triangle,159,97,28,"(255, 0, 255)",scene_020.png
square,320,331,36,"(0, 255, 255)",scene_020.png
rectangle,217,358,55,"(255, 255, 0)",scene_020.png
square,50,354,25,"(255, 0, 255)",scene_020.png
circle,437,218,46,"(255, 255, 0)",scene_020.png
rectangle,230,410,35,"(0, 255, 0)",scene_020.png
pentagon,369,179,55,"(0, 0, 255)",scene_020.png
triangle,357,174,56,"(255, 255, 0)",scene_020.png
square,191,322,48,"(0, 255, 255)",scene_020.png
square,260,100,35,"(255, 0, 0)",scene_021.png
triangle,122,124,29,"(255, 0, 0)",scene_021.png
square,280,102,30,"(255, 0, 0)",scene_021.png
rectangle,377,103,45,"(0, 255, 255)",scene_021.png
rectangle,81,414,60,"(0, 255, 255)",scene_021.png
rectangle,366,269,46,"(255, 0, 255)",scene_021.png
square,163,433,48,"(255, 0, 0)",scene_021.png
circle,264,347,53,"(0, 0, 255)",scene_021.png
circle,161,218,42,"(255, 255, 0)",scene_021.png
square,195,135,60,"(255, 255, 0)",scene_021.png
circle,201,221,43,"(255, 255, 0)",scene_021.png
rectangle,86,120,37,"(0, 0, 255)",scene_021.png
pentagon,181,72,36,"(0, 255, 0)",scene_021.png
pentagon,328,422,50,"(255, 255, 0)",scene_022.png
pentagon,264,177,60,"(0, 0, 255)",scene_022.png
pentagon,84,219,57,"(255, 0, 255)",scene_022.png
pentagon,275,369,33,"(255, 255, 0)",scene_022.png
rectangle,325,233,59,"(0, 255, 0)",scene_022.png
square,306,167,49,"(255, 0, 255)",scene_022.png
triangle,197,423,56,"(255, 0, 0)",scene_022.png
square,406,332,60,"(255, 0, 255)",scene_022.png
circle,279,214,59,"(0, 255, 0)",scene_022.png
triangle,144,283,34,"(0, 0, 255)",scene_022.png
triangle,54,460,35,"(0, 255, 255)",scene_022.png
pentagon,399,447,29,"(0, 255, 0)",scene_023.png
pentagon,217,408,42,"(255, 255, 0)",scene_023.png
pentagon,405,446,44,"(255, 0, 255)",scene_023.png
circle,423,361,46,"(255, 255, 0)",scene_023.png
rectangle,403,118,35,"(255, 0, 0)",scene_023.png
triangle,359,456,26,"(255, 255, 0)",scene_023.png
rectangle,297,150,30,"(0, 255, 255)",scene_023.png
square,270,392,36,"(0, 255, 0)",scene_023.png
pentagon,97,199,34,"(255, 255, 0)",scene_023.png
pentagon,75,230,51,"(255, 0, 255)",scene_023.png
pentagon,200,271,45,"(255, 0, 0)",scene_023.png
triangle,167,178,45,"(255, 0, 255)",scene_024.png
circle,209,193,52,"(0, 0, 255)",scene_024.png
triangle,140,274,43,"(255, 0, 255)",scene_024.png
rectangle,425,368,39,"(255, 0, 0)",scene_024.png
circle,452,343,41,"(255, 255, 0)",scene_024.png
pentagon,273,67,26,"(255, 255, 0)",scene_024.png
triangle,259,376,27,"(0, 255, 255)",scene_024.png
triangle,318,292,59,"(255, 255, 0)",scene_024.png
rectangle,124,169,59,"(0, 0, 255)",scene_024.png
triangle,405,271,52,"(0, 255, 0)",scene_025.png
triangle,85,300,40,"(255, 0, 255)",scene_025.png
square,351,359,46,"(255, 255, 0)",scene_025.png
pentagon,276,309,40,"(255, 255, 0)",scene_025.png
square,150,304,40,"(255, 255, 0)",scene_025.png
circle,263,166,29,"(0, 255, 0)",scene_025.png
circle,250,390,48,"(255, 0, 0)",scene_025.png
square,382,354,27,"(0, 255, 255)",scene_025.png
pentagon,377,328,35,"(0, 255, 0)",scene_026.png
square,139,93,58,"(0, 255, 255)",scene_026.png
triangle,350,85,39,"(0, 255, 0)",scene_026.png
square,109,88,59,"(255, 255, 0)",scene_026.png
rectangle,427,113,40,"(0, 255, 255)",scene_026.png
pentagon,443,353,28,"(0, 0, 255)",scene_026.png
square,230,159,28,"(255, 255, 0)",scene_026.png
square,173,158,53,"(0, 255, 255)",scene_026.png
circle,444,107,47,"(0, 255, 0)",scene_026.png
square,335,458,27,"(0, 255, 0)",scene_026.png
rectangle,127,375,53,"(0, 255, 0)",scene_026.png
circle,435,248,56,"(0, 255, 0)",scene_027.png
square,411,336,56,"(0, 255, 0)",scene_027.png
circle,296,104,42,"(255, 255, 0)",scene_027.png
circle,369,89,42,"(255, 0, 0)",scene_027.png
triangle,405,131,33,"(255, 0, 0)",scene_027.png
circle,252,371,42,"(255, 255, 0)",scene_027.png
rectangle,51,170,29,"(0, 255, 0)",scene_027.png
rectangle,323,140,26,"(255, 255, 0)",scene_028.png
circle,104,132,32,"(255, 0, 0)",scene_028.png
circle,318,365,53,"(255, 0, 255)",scene_028.png
square,220,174,25,"(255, 255, 0)",scene_028.png
square,288,141,31,"(255, 0, 255)",scene_028.png
rectangle,293,368,60,"(0, 255, 255)",scene_028.png
triangle,164,270,31,"(0, 255, 255)",scene_028.png
triangle,78,349,59,"(0, 255, 0)",scene_028.png
circle,237,368,48,"(255, 0, 0)",scene_028.png
pentagon,87,396,27,"(255, 0, 0)",scene_029.png
rectangle,292,174,48,"(0, 255, 0)",scene_029.png
triangle,311,204,31,"(0, 255, 255)",scene_029.png
triangle,310,205,25,"(0, 255, 255)",scene_029.png
pentagon,314,266,30,"(0, 0, 255)",scene_029.png
circle,197,371,40,"(255, 255, 0)",scene_029.png
rectangle,266,371,44,"(255, 0, 255)",scene_029.png
rectangle,166,146,32,"(255, 255, 0)",scene_030.png
triangle,190,437,37,"(0, 0, 255)",scene_030.png
square,157,381,31,"(0, 255, 255)",scene_030.png
triangle,73,294,48,"(0, 0, 255)",scene_030.png
pentagon,416,261,44,"(0, 255, 255)",scene_030.png
pentagon,394,437,33,"(0, 255, 255)",scene_030.png
square,426,229,37,"(0, 255, 0)",scene_030.png
triangle,130,146,28,"(255, 255, 0)",scene_030.png
pentagon,169,269,33,"(255, 0, 0)",scene_030.png
square,196,310,35,"(255, 255, 0)",scene_031.png
square,109,344,37,"(255, 0, 255)",scene_031.png
square,408,226,48,"(255, 0, 255)",scene_031.png
pentagon,68,102,42,"(0, 255, 255)",scene_031.png
square,308,416,55,"(255, 255, 0)",scene_031.png
pentagon,327,205,27,"(0, 255, 0)",scene_031.png
pentagon,457,438,29,"(255, 0, 0)",scene_031.png
pentagon,234,447,39,"(0, 255, 255)",scene_032.png
square,429,371,44,"(0, 0, 255)",scene_032.png
pentagon,91,326,32,"(255, 0, 255)",scene_032.png
circle,421,385,55,"(255, 0, 255)",scene_032.png
circle,306,299,42,"(255, 0, 0)",scene_032.png
square,295,345,49,"(255, 255, 0)",scene_032.png
rectangle,273,336,28,"(0, 255, 255)",scene_032.png
circle,313,171,43,"(255, 0, 255)",scene_032.png
square,53,127,34,"(0, 255, 255)",scene_032.png
triangle,332,186,49,"(0, 255, 255)",scene_033.png
pentagon,188,137,51,"(0, 255, 255)",scene_033.png
pentagon,372,361,32,"(255, 0, 255)",scene_033.png
circle,347,172,39,"(255, 255, 0)",scene_033.png
circle,62,452,40,"(255, 0, 0)",scene_033.png
square,124,365,33,"(0, 255, 0)",scene_033.png
square,348,198,44,"(255, 0, 255)",scene_034.png
circle,300,281,57,"(255, 0, 255)",scene_034.png
rectangle,83,225,38,"(255, 0, 0)",scene_034.png
pentagon,110,372,48,"(0, 0, 255)",scene_034.png
rectangle,285,59,37,"(0, 0, 255)",scene_034.png
circle,454,244,28,"(255, 255, 0)",scene_034.png
pentagon,303,447,46,"(0, 0, 255)",scene_034.png
circle,420,449,44,"(0, 255, 255)",scene_034.png
rectangle,318,95,43,"(0, 255, 0)",scene_034.png
rectangle,206,250,29,"(0, 255, 0)",scene_034.png
triangle,214,155,56,"(0, 255, 255)",scene_034.png
triangle,141,181,60,"(0, 255, 255)",scene_034.png
circle,251,166,27,"(0, 0, 255)",scene_034.png
triangle,92,179,47,"(0, 255, 255)",scene_035.png
pentagon,255,105,31,"(255, 255, 0)",scene_035.png
rectangle,277,386,51,"(0, 255, 0)",scene_035.png
triangle,192,98,52,"(255, 0, 0)",scene_035.png
rectangle,385,156,59,"(255, 0, 255)",scene_035.png
triangle,208,302,57,"(0, 0, 255)",scene_035.png
circle,47,78,25,"(0, 255, 0)",scene_035.png
square,302,175,25,"(0, 0, 255)",scene_035.png
pentagon,190,75,58,"(255, 255, 0)",scene_035.png
rectangle,80,377,48,"(0, 255, 255)",scene_035.png
square,131,331,34,"(255, 0, 255)",scene_035.png
rectangle,116,238,47,"(255, 255, 0)",scene_036.png
circle,332,100,28,"(0, 255, 0)",scene_036.png
circle,218,383,46,"(255, 255, 0)",scene_036.png
rectangle,226,124,53,"(0, 255, 255)",scene_036.png
triangle,91,82,60,"(255, 255, 0)",scene_036.png
triangle,455,392,30,"(255, 0, 0)",scene_036.png
pentagon,151,241,42,"(255, 255, 0)",scene_036.png
circle,351,123,60,"(255, 255, 0)",scene_037.png
pentagon,347,95,28,"(255, 255, 0)",scene_037.png
circle,430,173,33,"(255, 255, 0)",scene_037.png
pentagon,370,382,34,"(255, 0, 0)",scene_037.png
square,445,365,30,"(0, 255, 0)",scene_037.png
triangle,86,145,57,"(0, 0, 255)",scene_037.png
circle,116,331,31,"(255, 0, 0)",scene_037.png
rectangle,300,95,45,"(0, 255, 0)",scene_037.png
pentagon,393,433,51,"(0, 255, 0)",scene_037.png
pentagon,118,155,28,"(0, 0, 255)",scene_037.png
rectangle,150,149,29,"(255, 0, 0)",scene_037.png
circle,181,210,49,"(255, 0, 255)",scene_037.png
pentagon,406,227,59,"(255, 0, 255)",scene_038.png
square,403,110,42,"(255, 0, 255)",scene_038.png
square,159,252,60,"(0, 255, 255)",scene_038.png
triangle,76,430,32,"(0, 255, 0)",scene_038.png
square,232,216,26,"(0, 0, 255)",scene_038.png
rectangle,449,126,45,"(255, 255, 0)",scene_038.png
triangle,381,81,29,"(0, 255, 0)",scene_039.png
circle,278,351,30,"(255, 0, 255)",scene_039.png
triangle,404,82,59,"(255, 0, 255)",scene_039.png
pentagon,192,126,50,"(255, 0, 255)",scene_039.png
circle,352,141,57,"(255, 255, 0)",scene_039.png
rectangle,94,238,33,"(255, 0, 0)",scene_039.png
triangle,316,140,52,"(0, 255, 0)",scene_039.png
rectangle,78,356,50,"(255, 0, 0)",scene_040.png
square,306,101,29,"(0, 255, 0)",scene_040.png
square,395,76,42,"(0, 0, 255)",scene_040.png
triangle,118,123,48,"(0, 255, 255)",scene_040.png
circle,209,422,46,"(0, 0, 255)",scene_040.png
square,416,82,47,"(0, 0, 255)",scene_040.png
rectangle,228,205,32,"(255, 0, 0)",scene_040.png
triangle,284,130,58,"(255, 0, 255)",scene_040.png
circle,439,183,45,"(255, 0, 0)",scene_040.png
circle,99,280,27,"(0, 0, 255)",scene_040.png
square,271,436,36,"(255, 0, 0)",scene_041.png
square,94,212,37,"(255, 0, 255)",scene_041.png
triangle,253,320,32,"(0, 255, 255)",scene_041.png
square,217,144,60,"(0, 0, 255)",scene_041.png
circle,206,451,46,"(0, 0, 255)",scene_041.png
pentagon,344,231,57,"(255, 255, 0)",scene_041.png
pentagon,430,189,53,"(255, 0, 0)",scene_041.png
triangle,326,277,38,"(255, 255, 0)",scene_041.png
rectangle,440,338,27,"(0, 255, 0)",scene_041.png
circle,335,179,33,"(0, 255, 0)",scene_041.png
pentagon,453,205,42,"(0, 0, 255)",scene_041.png
triangle,208,102,57,"(255, 255, 0)",scene_041.png
triangle,123,167,39,"(255, 255, 0)",scene_042.png
triangle,124,178,60,"(255, 0, 255)",scene_042.png
square,277,380,40,"(0, 255, 255)",scene_042.png
pentagon,296,188,56,"(255, 0, 0)",scene_042.png
square,95,155,43,"(255, 0, 255)",scene_042.png
triangle,242,400,55,"(0, 255, 0)",scene_042.png
square,199,388,58,"(0, 255, 0)",scene_042.png
rectangle,201,274,43,"(255, 255, 0)",scene_042.png
triangle,406,383,44,"(0, 255, 255)",scene_042.png
square,146,261,38,"(0, 255, 0)",scene_042.png
circle,455,185,35,"(255, 255, 0)",scene_043.png
rectangle,209,125,41,"(0, 255, 0)",scene_043.png
circle,376,286,40,"(0, 255, 255)",scene_043.png
rectangle,450,443,32,"(255, 0, 0)",scene_043.png
circle,87,431,34,"(0, 255, 255)",scene_043.png
pentagon,126,236,33,"(255, 0, 0)",scene_043.png
rectangle,396,205,50,"(255, 255, 0)",scene_043.png
triangle,127,151,32,"(0, 0, 255)",scene_043.png
triangle,194,250,39,"(255, 0, 0)",scene_043.png
pentagon,373,447,42,"(255, 0, 255)",scene_043.png
circle,402,239,39,"(255, 255, 0)",scene_044.png
pentagon,440,237,39,"(0, 255, 255)",scene_044.png
pentagon,114,336,51,"(0, 255, 255)",scene_044.png
circle,314,308,38,"(0, 0, 255)",scene_044.png
triangle,248,213,51,"(255, 255, 0)",scene_044.png
triangle,142,391,57,"(0, 255, 0)",scene_044.png
circle,242,414,29,"(255, 0, 0)",scene_044.png
square,406,277,56,"(255, 0, 255)",scene_044.png
square,87,167,57,"(255, 0, 0)",scene_044.png
triangle,287,160,60,"(0, 255, 0)",scene_044.png
pentagon,224,376,52,"(0, 255, 255)",scene_044.png
rectangle,424,98,38,"(0, 255, 0)",scene_045.png
square,465,434,25,"(0, 0, 255)",scene_045.png
pentagon,252,333,59,"(0, 255, 0)",scene_045.png
square,189,86,46,"(0, 255, 0)",scene_045.png
square,101,383,60,"(0, 0, 255)",scene_045.png
square,343,243,57,"(255, 255, 0)",scene_045.png
triangle,403,86,50,"(255, 0, 255)",scene_045.png
square,241,360,48,"(255, 0, 255)",scene_045.png
square,139,225,38,"(0, 0, 255)",scene_045.png
pentagon,375,232,26,"(0, 255, 255)",scene_045.png
pentagon,218,365,29,"(255, 0, 0)",scene_045.png
pentagon,259,303,26,"(255, 255, 0)",scene_045.png
triangle,116,46,27,"(255, 255, 0)",scene_046.png
pentagon,337,373,49,"(0, 255, 255)",scene_046.png
triangle,355,408,27,"(255, 0, 0)",scene_046.png
triangle,135,419,58,"(0, 255, 255)",scene_046.png
rectangle,445,121,45,"(255, 0, 0)",scene_046.png
square,229,374,38,"(255, 0, 0)",scene_046.png
circle,273,97,50,"(0, 0, 255)",scene_046.png
pentagon,248,349,58,"(255, 255, 0)",scene_046.png
square,389,393,38,"(0, 255, 0)",scene_046.png
triangle,462,136,33,"(0, 255, 0)",scene_046.png
square,156,80,31,"(255, 0, 255)",scene_046.png
rectangle,275,315,58,"(255, 255, 0)",scene_046.png
square,300,199,36,"(0, 255, 255)",scene_047.png
circle,455,371,30,"(255, 0, 255)",scene_047.png
square,381,257,47,"(0, 255, 255)",scene_047.png
pentagon,230,101,56,"(255, 0, 255)",scene_047.png
square,143,97,58,"(0, 0, 255)",scene_047.png
triangle,243,444,30,"(0, 255, 255)",scene_047.png
pentagon,359,407,43,"(255, 0, 255)",scene_047.png
rectangle,67,147,27,"(0, 255, 0)",scene_047.png
triangle,71,220,30,"(0, 255, 0)",scene_047.png
circle,74,265,28,"(0, 255, 0)",scene_047.png
triangle,67,142,51,"(255, 255, 0)",scene_047.png
circle,67,343,43,"(0, 0, 255)",scene_047.png
triangle,246,392,37,"(255, 0, 0)",scene_047.png
pentagon,292,448,29,"(255, 255, 0)",scene_048.png
triangle,254,398,40,"(255, 0, 255)",scene_048.png
rectangle,226,70,44,"(255, 0, 0)",scene_048.png
pentagon,121,324,53,"(0, 255, 0)",scene_048.png
circle,442,189,26,"(255, 0, 255)",scene_048.png
square,220,157,26,"(255, 255, 0)",scene_048.png
pentagon,461,387,27,"(255, 255, 0)",scene_048.png
rectangle,431,141,27,"(0, 255, 255)",scene_048.png
pentagon,272,112,48,"(0, 255, 0)",scene_048.png
square,302,353,59,"(255, 0, 0)",scene_048.png
rectangle,268,104,55,"(0, 255, 0)",scene_048.png
pentagon,261,420,37,"(0, 255, 255)",scene_048.png
triangle,432,78,43,"(255, 0, 0)",scene_048.png
circle,85,438,53,"(255, 0, 0)",scene_048.png
rectangle,312,226,30,"(255, 255, 0)",scene_049.png
circle,319,102,56,"(0, 255, 0)",scene_049.png
circle,140,194,59,"(0, 255, 0)",scene_049.png
triangle,394,100,45,"(255, 0, 0)",scene_049.png
